YEARMONTH,ORDERCOUNT,TOTALREVENUE,AVGORDERVALUE,Year,Month,MonthName
1992-01,19330,2924475612.31,151292.06478583,1992,1,January
1992-02,18058,2722431986.23,150760.43782423,1992,2,February
1992-03,19353,2916634337.08,150707.09125614,1992,3,March
1992-04,18600,2810957935.53,151126.77072742,1992,4,April
1992-05,19197,2889847192.76,150536.39593478,1992,5,May
1992-06,18640,2819384521.34,151254.53440665,1992,6,June
1992-07,19261,2902206241.9,150677.85898448,1992,7,July
1992-08,19059,2890477210.32,151659.43702818,1992,8,August
1992-09,18457,2822154173.25,152904.27335157,1992,9,September
1992-10,19272,2910657060.89,151030.35807856,1992,10,October
1992-11,18423,2788587548.76,151364.46554633,1992,11,November
1992-12,19439,2932860232.06,150875.05695046,1992,12,December
1993-01,19318,2913811373.16,150834.00834248,1993,1,January
1993-02,17351,2630677718.03,151615.33733099,1993,2,February
1993-03,19255,2912683428.71,151268.93942924,1993,3,March
1993-04,18660,2822443390.8,151256.34463023,1993,4,April
1993-05,19019,2883287522.04,151600.37446974,1993,5,May
1993-06,18755,2835160694.49,151168.25883711,1993,6,June
1993-07,19319,2942123846.74,152291.72559346,1993,7,July
1993-08,19206,2897367419.42,150857.41015412,1993,8,August
1993-09,18693,2848207447.7,152367.59469855,1993,9,September
1993-10,19239,2920787181.18,151815.95619211,1993,10,October
1993-11,18660,2844583652.9,152442.85385316,1993,11,November
1993-12,19170,2889276403.86,150718.64391549,1993,12,December
1994-01,19502,2970474618.16,152316.40950467,1994,1,January
1994-02,17301,2604605171.74,150546.51012889,1994,2,February
1994-03,19546,2951594278.33,151007.58612146,1994,3,March
1994-04,18615,2813400959.67,151136.23205318,1994,4,April
1994-05,19259,2912998109.37,151253.86101926,1994,5,May
1994-06,18771,2837622828.43,151170.57314102,1994,6,June
1994-07,19281,2893778071.78,150084.43917743,1994,7,July
1994-08,19422,2939456841.96,151346.76356503,1994,8,August
1994-09,18681,2829177284.3,151446.77931053,1994,9,September
1994-10,19008,2864472662.74,150698.2671896,1994,10,October
1994-11,18827,2859839161.86,151900.94873639,1994,11,November
1994-12,19384,2938949064.63,151617.26499329,1994,12,December
1995-01,19472,2946587345.85,151324.32959378,1995,1,January
1995-02,17721,2689142056.26,151748.88867784,1995,2,February
1995-03,19313,2910048327.04,150678.21296743,1995,3,March
1995-04,18901,2853296779.7,150960.09627533,1995,4,April
1995-05,19342,2898401832.47,149850.16195171,1995,5,May
1995-06,18874,2856172335.44,151328.40603158,1995,6,June
1995-07,19471,2950551890.98,151535.71418931,1995,7,July
1995-08,19460,2945954831.22,151385.14035046,1995,8,August
1995-09,18746,2817729480.29,150310.97195615,1995,9,September
1995-10,19502,2948766858.59,151203.30522972,1995,10,October
1995-11,18619,2832030728.38,152104.34117729,1995,11,November
1995-12,19216,2897450717.38,150783.23883118,1995,12,December
1996-01,19217,2903467749.81,151088.50235781,1996,1,January
1996-02,18249,2761225141.14,151308.29859938,1996,2,February
1996-03,19102,2886057925.13,151086.68857345,1996,3,March
1996-04,18701,2844522497.03,152105.36853805,1996,4,April
1996-05,19162,2888796278.32,150756.51175869,1996,5,May
1996-06,18912,2862884106.61,151379.2357556,1996,6,June
1996-07,19196,2906901136.23,151432.64931392,1996,7,July
1996-08,19724,2988619864.22,151521.99676638,1996,8,August
1996-09,18848,2850516823.52,151237.09802207,1996,9,September
1996-10,19308,2935531059.58,152037.03436814,1996,10,October
1996-11,18923,2843667967.3,150275.74736036,1996,11,November
1996-12,19284,2937174211.97,152311.46089867,1996,12,December
1997-01,19148,2894774512.52,151178.94884688,1997,1,January
1997-02,17584,2666400698.43,151637.8923129,1997,2,February
1997-03,19052,2871589959.01,150723.80637256,1997,3,March
1997-04,18864,2870520226.05,152169.22317907,1997,4,April
1997-05,19519,2954859129.31,151383.73529945,1997,5,May
1997-06,18951,2848808520.47,150324.97073875,1997,6,June
1997-07,19431,2926926018.56,150631.77492461,1997,7,July
1997-08,19330,2905509503.14,150310.88997103,1997,8,August
1997-09,18598,2823931892.91,151840.62226637,1997,9,September
1997-10,19337,2913895092.65,150690.13252573,1997,10,October
1997-11,18519,2776607117.39,149932.88608402,1997,11,November
1997-12,19450,2919810742.6,150118.80424679,1997,12,December
1998-01,19380,2926989887.18,151031.46992673,1998,1,January
1998-02,17510,2667983462.14,152369.12976242,1998,2,February
1998-03,19462,2931571465.59,150630.53466191,1998,3,March
1998-04,18677,2818894310.62,150928.64542592,1998,4,April
1998-05,19432,2940806826.69,151338.35048837,1998,5,May
1998-06,18590,2809087921.63,151107.47292254,1998,6,June
1998-07,19373,2935593508.98,151530.14551076,1998,7,July
1998-08,1199,181794522.7,151621.78707256,1998,8,August
